citation,auteur,
"Par sa nature même, la vérité porte l'évidence en soi. Dès qu'on la débarrasse des toiles d'araignée de l'ignorance, elle brille avec éclat.",Gandhi,
"Par tout pays, la religion dominante, quand elle ne persécute point, engloutit à la longue toutes les autres.",Voltaire,
"Par trois méthodes, nous pouvons apprendre la sagesse : premièrement, par la réflexion, qui est la plus noble ; Deuxièmement, par imitation, ce qui est plus facile ; et troisièmement par l'expérience, qui est la plus amère.",Confucius,
"Parce qu'un homme a tort de ne pas croire en Dieu, avons-nous raison de l'injurier ? On n'a recours aux invectives que quand on manque de preuves.",Denis Diderot,
"Parce que la religion est divine, doit-elle régner par la haine, les tortures, les meurtres ?",Voltaire,
Parfois je pense ; et parfois je suis.,Paul Valéry,
"Parfois pour Dieu, souvent contre lui, et pourtant jamais sans lui.",Elie Wiesel,
"Paris, point le plus éloigné du Paradis, n'en demeure pas moins le seul endroit où il fasse bon désespérer.",Emil Cioran,
"Parle, afin que je te voie.",Georg Christoph Lichtenberg,
Parler beaucoup de soi est un moyen de se dissimuler.,Friedrich Nietzsche,
"Parler c'est agir : toute chose qu'on nomme n'est déjà plus tout à fait la même, elle a perdu son innocence.",Jean-Paul Sartre,
"Parmi ceux qui lisent, il y en a vingt qui lisent des romans, contre un qui étudie la philosophie. Le nombre de ceux qui pensent est excessivement petit, et ceux-là ne s'avisent pas de troubler le monde.",Voltaire,
"Parmi les choses dont la sagesse se munit en vue de la félicité de la vie tout entière, de beaucoup la plus importante est la possession de l'amitié.",épicure,
"Parmi les choses répandues au hasard, le plus beau : le cosmos. L'harmonie invisible plus belle que la visible. Nature aime se cacher.",Héraclite D'Éphèse,
"Parmi les cinq sens, la vue, l'ouïe et l'odorat connaissent moins d'interdits que le toucher et le goût.",Léonard De Vinci,
"Parmi les désirs, les uns sont naturels et nécessaires, les autres naturels et non nécessaires, et les autres ni naturels ni nécessaires, mais l'effet d'opinions creuses.",épicure,
"Parmi les êtres humains, on ne reconnaît pleinement l'existence que de ceux qu'on aime.",Simone Weil,
"Parmi les plaisirs, les plus rares sont les plus vifs.",Démocrite D'Abdère,
"Parmi toutes les variétés de l'intelligence découvertes jusqu'à présent, l'instinct est, de toutes, la plus intelligente.",Friedrich Nietzsche,
Parole parée n'est pas sincère.,Lao Tseu,
"Partout nous recherchons l'être achevé, et toujours nous ne trouvons que des changements.",Ralph Waldo Emerson,
"Partout où il n'y aura rien, lisez que je vous aime.",Denis Diderot,
"Partout où l'homme a dégradé la femme, il s'est dégradé lui-même.",Charles Fourier,
"Partout où le hasard semble jouer à la surface, il est toujours sous l'empire de lois internes cachées, et il ne s'agit que de les découvrir.",Friedrich Engels,
"Partout où les hommes sont égaux, le bonheur n'existera jamais.",Marquis De Sade,
"Partout où quelque chose vit, il y a, ouvert quelque part, un registre où le temps s'inscrit.",Henri Bergson,
"Pas besoin de gril : l'enfer, c'est les Autres.",Jean-Paul Sartre,
"Pas de gens qui aiment plus à parler que les bègues, pas de gens qui aiment plus à marcher que les boiteux.",Denis Diderot,
"Pas trop d'isolement ; pas trop de relations ; le juste milieu, voilà la sagesse.",Confucius,
"Passé quarante ans, un homme est responsable de son visage.",Léonard De Vinci,
"Passer à la télévision est le rêve de tous les m'as-tu-vu qui, à tort ou à raison, s'imaginent avoir quelques choses à communiquer aux autres.",Jean D'Ormesson,
Passion est passivité de l'âme et activité du corps.,René Descartes,
"Pauvres de jouissances, ils veulent être riches d'illusions.",Charles Fourier,
"Pendant des millénaires, on n'était ni optimiste ni pessimiste parce que les choses ne changeaient pas. Demain était semblable à hier",Jean D'Ormesson,
"Pendant l'insomnie, je me dis, en guise de consolation, que ces heures dont je prend conscience, je les arrache au néant, et que si je les dormais, elles ne m'auraient jamais appartenu, elles n'auraient jamais existé.",Emil Cioran,
"Pendant que l'on écrit publiquement sur des péchés intimes, moi, j'ai entrepris d'écrire en cachette sur des péchés publics.",Georg Christoph Lichtenberg,
"Pendant que nous sommes parmi les hommes, pratiquons l'humanité.",Sénèque,
Pénètre dans l'âme qui dirige chacun et laisse tout autre pénétrer dans ton âme à toi.,Marc Aurèle,
"Pense un peu à nous-mêmes ! Roule, vois, ris et cause ! Mais qu'il ne soit que belle chose qui ne te fasse un peu penser à qui vous aime.",Paul Valéry,
Pensent profondément ceux-là seuls qui n'ont pas le malheur d'être affligés du sens du ridicule.,Emil Cioran,
Penser avec le petit nombre et se faire entendre de la masse.,Baltasar Gracian,
Penser fait la grandeur de l'homme.,Blaise Pascal,
Penser veut dire aussi rêver.,George Steiner,
"Penser, c'est parler avec soi-même.",Miguel De Unamuno,
Penserions-nous beaucoup et penserions-nous bien si nous ne pensions pas pour ainsi dire avec d'autres.,Emmanuel Kant,
Pensez deux fois avant de parler et vous parlerez deux fois mieux.,Plutarque,
Percevoir l'esprit de chacune des religions est plus important que de dresser la liste des fêtes ou des règles alimentaires.,Roger-Pol Droit,
Persécuteur et persécuté sont identiques. L'un s'abuse en ne croyant pas avoir sa part de souffrance ; l'autre s'abuse en ne croyant pas participer à la culpabilité.,Arthur Schopenhauer,
"Personne n'a vécu dans le passé, personne ne vivra dans le futur ; le présent est le mode de toute vie.",Arthur Schopenhauer,
Personne n'aime à considérer ses malheurs comme ses enfants légitimes.,Paul Valéry,
Personne n'attache aujourd'hui autant de valeur à l'écriture que les régimes policiers.,Italo Calvino,
"Personne n'erre seulement pour son propre compte, mais on est la cause et le promoteur de l'erreur d'autrui.",Sénèque,
Personne n'est juge en sa propre cause.,Thomas D'Aquin,
"Personne n'est mon semblable, ma chair n'est pas leur chair, ni ma pensée leur pensée.",Max Stirner,
"Personne ne choisirait de vivre sans amis, eût-il tous les autres biens.",Aristote,
Personne ne commet une faute plus grande que celui qui ne fait rien parce qu'il ne peut pas faire beaucoup.,Edmund Burke,
Personne ne parle en notre présence comme il en parle en notre absence. L'union qui est entre les hommes n'est fondée que sur cette mutuelle tromperie.,Blaise Pascal,
Personne ne peut porter longtemps le masque.,Sénèque,
Personne ne se lasse d'être aidé. L'aide est un acte conforme à la nature. Ne te lasse jamais d'en recevoir ni d'en apporter. ,Marc Aurèle,
"Personne ne se lasse de recevoir un service. Or, rendre service est agir conformément à la nature. Ne te lasse donc point de te rendre service en obligeant les autres.",Marc Aurèle,
"Personne ne se soucie de bien vivre , mais de vivre longtemps, alors que tous peuvent se donner le bonheur de bien vivre, aucun de vivre longtemps.",Sénèque,
Personne peut-être n'a jamais été assez sincère pour définir la sincérité.,Friedrich Nietzsche,
"Personne, voyant le mal, ne le choisit, mais attiré par l'appât d'un bien par un mal plus grand que celui-ci, l'on est pris au piège.",épicure,
Peu d'amitiés subsisteraient si chacun savait ce que son ami dit de lui.,Blaise Pascal,
"Peu d'amitiés subsisteraient, si chacun savait ce que son ami dit de lui lorsqu'il n'y est pas.",Blaise Pascal,
Peu d'esprits s'inquiètent d'examiner la question avant de fournir la réponse.,Paul Valéry,
Peu de chose nous console parce que peu de chose nous afflige.,Blaise Pascal,
Peu de gens parlent du doute en doutant.,Blaise Pascal,
"Peu de gens sont faits pour l'indépendance, c'est le privilège des puissants.",Friedrich Nietzsche,
Peu importe si le début paraît petit.,Henry David Thoreau,
"Peu m'importe qu'il y ait du sucre aux Indes, de la porcelaine à la Chine, du café en Arabie ; il faut qu'on me l'apporte.",Nicolas De Condorcet,
"Peuples, sachez donc une fois que la Nature a voulu vous préserver de la Science, comme une père arrache une arme dangereuse des mains de son enfant.",Jean-Jacques Rousseau,
"Peut-être enfin que le rire n'est pas une création de Dieu, mais Dieu une création du rire ?",Michel Onfray,
"Peut-être la bicyclette, dans ce monde de machines, était-elle à nos yeux une héritière du cheval ?",Jean D'Ormesson,
Peut-être la France est-elle le seul pays où le ridicule ait joué un rôle historique.,Paul Valéry,
Peut-être même dans le fameux amour maternel y a-t-il une bonne part de curiosité.,Friedrich Nietzsche,
Peutêtre peut-on être optimiste parce qu'on a le droit d'espérer que Dieu existe.,Jean D'Ormesson,
"Philosopher en vers, ce fut, et c'est encore, vouloir jouer aux échecs selon les règles du jeu de dame.",Paul Valéry,
"Philosopher, c'est apprendre à mourir.",Cicéron,
"Philosopher, c'est se comporter vis-à-vis de l'univers comme si rien n'allait de soi.",Vladimir Jankélévitch,
"Piètre disciple, qui ne surpasse pas son maître !",Léonard De Vinci,
"Pire qu'un pouvoir occulte, nous découvrons avec la mondialisation une pure absence de pouvoir.",Luc Ferry,
"Pitié pour celui qui, ayant épuisé ses réserves de mépris, ne sait plus quel sentiment éprouver à l'égard des autres et de lui-même !",Emil Cioran,
"Plaire à soi est orgueil ; aux autres, vanité.",Paul Valéry,
"Plaisante justice qu' une rivière borne. Vérité en deçà des Pyrénées, erreur au delà.",Blaise Pascal,
"Plaise au Seigneur, lumière de toutes choses, de m'éclairer, pour que je traite dignement de la lumière.",Léonard De Vinci,
"Plaisirs et peines sont ainsi, en fait, ce sur quoi roule la vertu morale.",Aristote,
"Plus abstraite est la vérité que tu veux enseigner, plus tu dois en sa faveur séduire les sens.",Friedrich Nietzsche,
"Plus absurde est la vie, moins supportable est la mort.",Jean-Paul Sartre,
"Plus claire la lumière, plus sombre l'obscurité... Il est impossible d'apprécier correctement la lumière sans connaître les ténèbres.",Jean-Paul Sartre,
Plus d'Etats ont péri parce qu'on a violé les moeurs que parce qu'on a violé les lois.,Montesquieu,
"Plus encore que dans le poème, c'est dans l'aphorisme que le mot est dieu.",Emil Cioran,
"Plus j'avance en âge, plus les jeunes m'exhortent à rester jeune.",Jean-Paul II,
"Plus je lis sur le virus (Coronavirus), sur les stratégies de lutte, sur le confinement et ses conséquences à terme, plus je trouve la controverse, et plus je suis dans l'incertitude. Alors il faut supporter toniquement l'incertitude. L'incertitude contient en elle le danger et aussi l'espoir.",Edgar Morin,
"Plus l'amour est parfait, plus la folie est grande et le bonheur sensible.",Érasme,
"Plus l'homme a d'habitudes, moins il est libre et indépendant.",Emmanuel Kant,
"Plus la politique devient technique, plus la compétence démocratique régresse.",Edgar Morin,
"Plus la religion est divine, moins il appartient à l'homme de la commander. Si Dieu l'a faite, Dieu la soutiendra sans vous.",Voltaire,
"Plus la vie est agréable et douce et enchanteresse, plus horrible est l'idée de la perdre. Et c'est ainsi que se corrompent les cultures et que viennent les décadences.",Miguel De Unamuno,
"Plus le châtiment sera prompt et suivra de près le délit commis, plus il sera juste et utile.",Cesare Beccaria,
"Plus le contenu de pensée est faible, plus le penseur prend d'importance.",Gilles Deleuze,
"Plus le corps est faible, plus il commande ; plus il est fort, plus il obéit.",Jean-Jacques Rousseau,
"Plus le niveau de la technique est élevé, plus les avantages que peuvent apporter des progrès nouveaux diminuent par rapport aux inconvénients.",Simone Weil,
"Plus le sage donne aux autres, plus il possède.",Lao Tseu,
"Plus les hommes s'éloignent de Dieu, plus ils avancent dans la connaissance des religions.",Emil Cioran,
"Plus les hommes seront éclairés, et plus ils seront libres.",Voltaire,
Plus nous nous élevons et plus nous paraissons petits à ceux qui ne savent pas voler.,Friedrich Nietzsche,
"Plus nous sommes occupés, plus nous sentons avec acuité que nous vivons, plus nous sommes conscients de la vie.",Emmanuel Kant,
"Plus on a médité, plus on est en état d'affirmer qu'on ne sait rien.",Voltaire,
"Plus on aime, plus on souffre. La somme des douleurs possibles pour chaque âme est proportionnelle à son degré de perfection",Henri-Frédéric Amiel,
"Plus on connaît, plus on aime.",Léonard De Vinci,
"Plus on est honnête homme, plus on a de peine à soupçonner les autres de ne l'être pas.",Cicéron,
"Plus on pense de façon objective, moins on existe.",Soren Kierkegaard,
"Plus on s'est trompé dans sa vie, plus on donne de leçons.",Gilles Deleuze,
"Plus on se cache, plus il est désagréable d'être surpris.",Soren Kierkegaard,
"Plus on se sent pécheur, plus on est chrétien.",Novalis,
"Plus on va loin, moins on apprend.",Lao Tseu,
"Plus on voyage au loin, moins on se connaît.",Lao Tseu,
"Plus puissante est l'intelligence générale, plus grande est sa faculté de traiter des problèmes spéciaux.",Edgar Morin,
"Plus tard, j'eus à mesurer les distances du savoir. Mieux valait habiter Paris ou une grande ville pour accéder aux bibliothèques, aux universités, aux centres documentés. Un renseignement, une citation pouvaient coûter des journées de voyages et des heures de recherche. Clic, aujourd'hui, un centième de seconde pour le même résultat.",Michel Serres,
